Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:31:30,100,17592,0,2425
2025-10-27 15:31:33,94,18040,0,2425
2025-10-27 15:31:35,100,17353,10,2425
2025-10-27 15:31:37,97,17312,56,2425
2025-10-27 15:31:39,95,17658,0,2425
2025-10-27 15:31:42,100,18002,0,2425
2025-10-27 15:31:44,91,18301,0,2425
2025-10-27 15:31:46,91,17277,71,2425
2025-10-27 15:31:49,99,17298,0,2425
2025-10-27 15:31:51,97,17765,0,2425
2025-10-27 15:31:53,98,18171,0,2425
2025-10-27 15:31:55,92,17461,43,2425
2025-10-27 15:31:58,93,17337,22,2425
2025-10-27 15:32:00,92,17611,0,2425
2025-10-27 15:32:02,95,18062,0,2425
2025-10-27 15:32:04,96,17622,0,2425
2025-10-27 15:32:07,95,17946,72,2425
2025-10-27 15:32:09,94,18030,0,2425
2025-10-27 15:32:11,96,18344,0,2425
2025-10-27 15:32:14,99,18697,0,2425
2025-10-27 15:32:16,96,18087,0,2425
2025-10-27 15:32:18,93,18427,0,2425
2025-10-27 15:32:20,94,18741,0,2425
2025-10-27 15:32:23,94,18034,1,2425
2025-10-27 15:32:25,99,17925,0,2425
2025-10-27 15:32:27,95,18140,0,2425
2025-10-27 15:32:29,94,18636,0,2425
2025-10-27 15:32:32,100,18043,0,2425
2025-10-27 15:32:34,92,18079,24,2425
2025-10-27 15:32:36,93,18156,0,2425
2025-10-27 15:32:38,94,18566,0,2425
2025-10-27 15:32:41,96,18901,0,2425
2025-10-27 15:32:43,94,18059,65,2425
2025-10-27 15:32:45,96,18055,0,2425
2025-10-27 15:32:48,99,18389,0,2425
2025-10-27 15:32:50,98,18855,0,2425
2025-10-27 15:32:52,94,18255,70,2425
2025-10-27 15:32:54,91,18187,0,2425
2025-10-27 15:32:57,92,18421,0,2425
2025-10-27 15:32:59,99,18766,0,2425
2025-10-27 15:33:01,96,18392,42,2425
2025-10-27 15:33:03,97,18240,20,2425
2025-10-27 15:33:06,91,18322,0,2425
2025-10-27 15:33:08,91,18740,0,2425
2025-10-27 15:33:10,98,18252,3,2425
2025-10-27 15:33:13,91,18163,57,2425
2025-10-27 15:33:15,97,18219,0,2425
2025-10-27 15:33:17,94,18561,0,2425
2025-10-27 15:33:19,98,18782,0,2425
2025-10-27 15:33:22,94,18168,71,2425
2025-10-27 15:33:24,96,18202,0,2425
2025-10-27 15:33:26,93,18541,0,2425
2025-10-27 15:33:28,100,18740,0,2425
2025-10-27 15:33:31,98,18096,34,2425
2025-10-27 15:33:33,93,18081,28,2425
2025-10-27 15:33:35,92,18442,0,2425
2025-10-27 15:33:38,98,18658,0,2425
2025-10-27 15:33:40,92,18287,0,2425
2025-10-27 15:33:42,91,18264,11,2425
2025-10-27 15:33:44,94,18456,0,2425
2025-10-27 15:33:47,98,18691,0,2425
2025-10-27 15:33:49,94,18802,0,2425
2025-10-27 15:33:51,93,18418,54,2425
2025-10-27 15:33:53,97,18440,0,2425
2025-10-27 15:33:56,91,18745,0,2425
2025-10-27 15:33:58,97,19012,0,2425
2025-10-27 15:34:00,93,18337,71,2425
2025-10-27 15:34:03,96,18232,0,2425
2025-10-27 15:34:05,94,18431,0,2425
2025-10-27 15:34:07,97,18831,0,2425
2025-10-27 15:34:09,98,18242,38,2425
2025-10-27 15:34:12,100,18132,26,2425
2025-10-27 15:34:14,96,18254,0,2425
2025-10-27 15:34:16,92,18826,0,2425
2025-10-27 15:34:18,93,18311,0,2425
2025-10-27 15:34:21,96,18270,68,2425
2025-10-27 15:34:23,91,18315,0,2425
2025-10-27 15:34:25,94,18590,0,2425
2025-10-27 15:34:28,94,18985,0,2425
2025-10-27 15:34:30,98,18175,72,2425
2025-10-27 15:34:32,100,18213,0,2425
2025-10-27 15:34:34,92,18555,0,2425
2025-10-27 15:34:37,96,18925,0,2425
2025-10-27 15:34:39,94,18146,34,2425
2025-10-27 15:34:41,96,18228,29,2425
2025-10-27 15:34:44,100,18496,0,2425
2025-10-27 15:34:46,99,18922,0,2425
2025-10-27 15:34:48,98,18155,0,2425
2025-10-27 15:34:50,99,18193,70,2425
2025-10-27 15:34:53,100,18398,0,2425
2025-10-27 15:34:55,91,18753,0,2425
2025-10-27 15:34:57,100,18942,0,2425
2025-10-27 15:34:59,97,18273,72,2425
2025-10-27 15:35:02,98,18341,0,2425
2025-10-27 15:35:04,99,18643,0,2425
2025-10-27 15:35:06,91,18857,0,2425
2025-10-27 15:35:08,94,18345,72,2425
2025-10-27 15:35:11,96,18335,0,2425
2025-10-27 15:35:13,93,18616,0,2425
2025-10-27 15:35:15,93,18834,0,2425
2025-10-27 15:35:18,98,18331,28,2425
2025-10-27 15:35:20,96,18224,37,2425
2025-10-27 15:35:22,98,18394,0,2425
2025-10-27 15:35:24,95,18822,0,2425
2025-10-27 15:35:27,96,19003,0,2425
2025-10-27 15:35:29,95,18315,71,2425
2025-10-27 15:35:31,97,18415,0,2425
2025-10-27 15:35:34,99,18717,0,2425
2025-10-27 15:35:36,94,18887,0,2425
2025-10-27 15:35:38,96,18227,72,2425
2025-10-27 15:35:40,95,18307,0,2425
2025-10-27 15:35:43,91,18662,0,2425
2025-10-27 15:35:45,99,18807,0,2425
2025-10-27 15:35:47,94,18370,0,2425
2025-10-27 15:35:49,100,18258,69,2425
2025-10-27 15:35:52,97,18440,0,2425
2025-10-27 15:35:54,94,18857,0,2425
2025-10-27 15:35:56,96,18517,0,2425
2025-10-27 15:35:59,91,18297,72,2425
2025-10-27 15:36:01,100,18486,0,2425
2025-10-27 15:36:03,97,18812,0,2425
2025-10-27 15:36:05,96,19048,0,2425
2025-10-27 15:36:08,99,18550,55,2425
2025-10-27 15:36:10,94,18551,0,2425
2025-10-27 15:36:12,91,18816,0,2425
2025-10-27 15:36:14,91,18985,0,2425
2025-10-27 15:36:17,95,18584,50,2425
2025-10-27 15:36:19,95,18468,17,2425
2025-10-27 15:36:21,100,18593,0,2425
2025-10-27 15:36:24,100,19016,0,2425
2025-10-27 15:36:26,100,18411,0,2425
2025-10-27 15:36:28,94,18365,71,2425
2025-10-27 15:36:30,99,18455,0,2425
2025-10-27 15:36:33,95,18771,0,2425
2025-10-27 15:36:35,96,19114,0,2425
2025-10-27 15:36:37,96,18507,72,2425
2025-10-27 15:36:39,92,18560,0,2425
2025-10-27 15:36:42,98,18826,0,2425
2025-10-27 15:36:44,96,19074,0,2425
2025-10-27 15:36:46,97,18564,40,2425
2025-10-27 15:36:49,97,18640,32,2425
2025-10-27 15:36:51,97,18640,0,2425
2025-10-27 15:36:53,94,19039,0,2425
2025-10-27 15:36:55,98,18630,0,2425
2025-10-27 15:36:58,99,18382,72,2425
2025-10-27 15:37:00,96,18435,0,2425
2025-10-27 15:37:02,100,18853,0,2425
2025-10-27 15:37:04,92,19144,0,2425
2025-10-27 15:37:07,100,18434,54,2425
2025-10-27 15:37:09,93,18433,0,2425
2025-10-27 15:37:11,94,18671,0,2425
2025-10-27 15:37:14,95,18994,0,2425
2025-10-27 15:37:16,97,18406,0,2425
2025-10-27 15:37:18,98,18387,6,2425
2025-10-27 15:37:20,98,18550,0,2425
2025-10-27 15:37:23,91,18928,0,2425
2025-10-27 15:37:25,95,18591,0,2425
2025-10-27 15:37:27,99,18532,53,2425
2025-10-27 15:37:29,93,18657,0,2425
2025-10-27 15:37:32,100,18943,0,2425
2025-10-27 15:37:34,99,19200,0,2425
2025-10-27 15:37:36,92,18446,72,2425
2025-10-27 15:37:39,95,18464,0,2425
2025-10-27 15:37:41,98,18793,0,2425
2025-10-27 15:37:43,99,19091,0,2425
2025-10-27 15:37:45,98,18374,44,2425
2025-10-27 15:37:48,94,18424,24,2425
2025-10-27 15:37:50,96,18552,0,2425
2025-10-27 15:37:52,94,19007,0,2425
2025-10-27 15:37:54,92,18613,0,2425
2025-10-27 15:37:57,92,18444,66,2425
2025-10-27 15:37:59,100,18665,0,2425
2025-10-27 15:38:01,91,18910,0,2425
2025-10-27 15:38:04,98,19194,0,2425
2025-10-27 15:38:06,96,18413,71,2425
