Timestamp_sec,CPU%,MemMB,Mem%,GPU%,GPU_MemMB,GPU_Mem%
82.9,111.5,2233.6,7.0,0.0,79.0,1.9
85.2,199.8,2255.6,7.1,6.0,79.0,1.9
87.4,99.8,2255.6,7.1,0.0,79.0,1.9
89.5,104.1,2255.6,7.1,0.0,79.0,1.9
91.8,99.9,2209.1,7.0,0.0,79.0,1.9
93.9,99.9,2209.1,7.0,10.0,79.0,1.9
96.1,99.9,2209.1,7.0,0.0,79.0,1.9
98.3,104.5,2245.6,7.1,0.0,79.0,1.9
100.5,99.8,2255.6,7.1,11.0,79.0,1.9
102.7,99.8,2255.6,7.1,0.0,79.0,1.9
104.9,99.7,2255.6,7.1,0.0,79.0,1.9
107.1,219.6,2209.1,7.0,0.0,79.0,1.9
109.3,99.8,2209.1,7.0,0.0,79.0,1.9
111.4,99.5,2213.6,7.0,0.0,79.0,1.9
113.7,99.8,2255.6,7.1,0.0,79.0,1.9
115.8,99.9,2255.6,7.1,9.0,79.0,1.9
118.0,109.9,2255.6,7.1,0.0,79.0,1.9
120.1,99.2,2255.6,7.1,0.0,79.0,1.9
122.5,109.7,2209.1,7.0,11.0,79.0,1.9
124.6,109.9,2209.1,7.0,0.0,79.0,1.9
126.8,103.8,2227.6,7.0,0.0,79.0,1.9
129.0,179.7,2255.6,7.1,0.0,79.0,1.9
131.2,109.9,2255.6,7.1,5.0,79.0,1.9
133.3,99.5,2255.6,7.1,0.0,79.0,1.9
135.6,99.9,2209.1,7.0,0.0,79.0,1.9
137.8,99.8,2209.1,7.0,8.0,79.0,1.9
139.9,99.8,2209.1,7.0,0.0,79.0,1.9
142.1,103.6,2245.6,7.1,0.0,79.0,1.9
144.4,99.8,2255.6,7.1,10.0,79.0,1.9
146.6,99.8,2255.6,7.1,0.0,79.0,1.9
148.7,95.6,2255.6,7.1,0.0,79.0,1.9
151.0,209.8,2209.1,7.0,0.0,79.0,1.9
153.2,109.8,2209.1,7.0,3.0,79.0,1.9
155.4,91.5,2217.6,7.0,0.0,79.0,1.9
157.7,99.8,2255.7,7.1,0.0,79.0,1.9
159.8,109.8,2255.7,7.1,5.0,79.0,1.9
162.0,99.9,2255.7,7.1,0.0,79.0,1.9
164.1,108.6,2255.7,7.1,0.0,79.0,1.9
166.4,99.8,2209.2,7.0,8.0,79.0,1.9
168.6,99.8,2209.2,7.0,0.0,79.0,1.9
170.7,99.1,2235.7,7.0,0.0,79.0,1.9
173.0,199.8,2255.7,7.1,3.0,79.0,1.9
175.2,89.9,2255.7,7.1,0.0,79.0,1.9
177.3,95.1,2255.7,7.1,0.0,79.0,1.9
179.6,209.8,2209.2,7.0,0.0,79.0,1.9
181.8,109.8,2209.2,7.0,2.0,79.0,1.9
183.9,104.4,2209.2,7.0,0.0,79.0,1.9
186.1,99.7,2251.7,7.1,0.0,79.0,1.9
188.4,99.9,2255.7,7.1,8.0,79.0,1.9
190.5,99.8,2255.7,7.1,0.0,79.0,1.9
192.7,104.5,2255.7,7.1,0.0,79.0,1.9
195.0,199.8,2209.2,7.0,5.0,79.0,1.9
197.1,99.8,2209.2,7.0,0.0,79.0,1.9
199.3,111.2,2223.7,7.0,0.0,79.0,1.9
201.6,199.6,2255.7,7.1,2.0,79.0,1.9
203.7,99.9,2255.7,7.1,0.0,79.0,1.9
205.9,99.5,2255.7,7.1,0.0,79.0,1.9
208.1,82.6,2255.7,7.1,0.0,79.0,1.9
210.3,99.8,2209.2,7.0,11.0,79.0,1.9
212.5,99.8,2209.2,7.0,0.0,79.0,1.9
214.7,104.6,2239.7,7.0,0.0,79.0,1.9
216.9,199.8,2255.7,7.1,9.0,79.0,1.9
219.1,99.8,2255.7,7.1,0.0,79.0,1.9
221.2,99.5,2255.7,7.1,0.0,79.0,1.9
223.5,199.8,2209.2,7.0,0.0,79.0,1.9
225.7,99.8,2209.2,7.0,0.0,79.0,1.9
227.8,107.6,2213.7,7.0,0.0,79.0,1.9
230.1,99.8,2255.8,7.1,0.0,79.0,1.9
232.2,109.7,2255.8,7.1,10.0,79.0,1.9
234.4,99.8,2255.8,7.1,0.0,79.0,1.9
236.5,103.5,2255.8,7.1,0.0,79.0,1.9
238.9,119.8,2209.3,7.0,11.0,79.0,1.9
241.0,99.8,2209.3,7.0,0.0,79.0,1.9
243.2,102.7,2225.8,7.0,0.0,79.0,1.9
245.5,189.8,2255.8,7.1,0.0,79.0,1.9
247.7,99.9,2255.8,7.1,0.0,79.0,1.9
249.8,104.4,2255.8,7.1,0.0,79.0,1.9
252.1,103.2,2255.8,7.1,0.0,79.0,1.9
254.3,89.8,2209.3,7.0,11.0,79.0,1.9
256.5,99.9,2209.3,7.0,0.0,79.0,1.9
258.6,91.7,2239.8,7.0,0.0,79.0,1.9
260.9,209.8,2255.8,7.1,9.0,79.0,1.9
263.1,99.8,2255.8,7.1,0.0,79.0,1.9
265.2,87.4,2255.8,7.1,0.0,79.0,1.9
267.5,199.7,2209.3,7.0,0.0,79.0,1.9
269.6,109.9,2209.3,7.0,8.0,79.0,1.9
